"strata_1","cluster_2","total","cluster_3","cluster_0","region","id","ENTIDAD","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","AGEB","MZA","POBTOT","POBFEM","POBMAS","P_0A2","P_0A2_F","P_0A2_M","P_3YMAS","P_3YMAS_F","P_3YMAS_M","P_5YMAS","P_5YMAS_F","P_5YMAS_M","P_12YMAS","P_12YMAS_F","P_12YMAS_M","P_15YMAS","P_15YMAS_F","P_15YMAS_M","P_18YMAS","P_18YMAS_F","P_18YMAS_M","P_3A5","P_3A5_F","P_3A5_M","P_6A11","P_6A11_F","P_6A11_M","P_8A14","P_8A14_F","P_8A14_M","P_12A14","P_12A14_F","P_12A14_M","P_15A17","P_15A17_F","P_15A17_M","P_18A24","P_18A24_F","P_18A24_M","P_15A49_F","P_60YMAS","P_60YMAS_F","P_60YMAS_M","REL_H_M","POB0_14","POB15_64","POB65_MAS","PROM_HNV","PNACENT","PNACENT_F","PNACENT_M","PNACOE","PNACOE_F","PNACOE_M","PRES2015","PRES2015_F","PRES2015_M","PRESOE15","PRESOE15_F","PRESOE15_M","P3YM_HLI","P3YM_HLI_F","P3YM_HLI_M","P3HLINHE","P3HLINHE_F","P3HLINHE_M","P3HLI_HE","P3HLI_HE_F","P3HLI_HE_M","P5_HLI","P5_HLI_NHE","P5_HLI_HE","PHOG_IND","POB_AFRO","POB_AFRO_F","POB_AFRO_M","PCON_DISC","PCDISC_MOT","PCDISC_VIS","PCDISC_LENG","PCDISC_AUD","PCDISC_MOT2","PCDISC_MEN","PCON_LIMI","PCLIM_CSB","PCLIM_VIS","PCLIM_HACO","PCLIM_OAUD","PCLIM_MOT2","PCLIM_RE_CO","PCLIM_PMEN","PSIND_LIM","P3A5_NOA","P3A5_NOA_F","P3A5_NOA_M","P6A11_NOA","P6A11_NOAF","P6A11_NOAM","P12A14NOA","P12A14NOAF","P12A14NOAM","P15A17A","P15A17A_F","P15A17A_M","P18A24A","P18A24A_F","P18A24A_M","P8A14AN","P8A14AN_F","P8A14AN_M","P15YM_AN","P15YM_AN_F","P15YM_AN_M","P15YM_SE","P15YM_SE_F","P15YM_SE_M","P15PRI_IN","P15PRI_INF","P15PRI_INM","P15PRI_CO","P15PRI_COF","P15PRI_COM","P15SEC_IN","P15SEC_INF","P15SEC_INM","P15SEC_CO","P15SEC_COF","P15SEC_COM","P18YM_PB","P18YM_PB_F","P18YM_PB_M","GRAPROES","GRAPROES_F","GRAPROES_M","PEA","PEA_F","PEA_M","PE_INAC","PE_INAC_F","PE_INAC_M","POCUPADA","POCUPADA_F","POCUPADA_M","PDESOCUP","PDESOCUP_F","PDESOCUP_M","PSINDER","PDER_SS","PDER_IMSS","PDER_ISTE","PDER_ISTEE","PAFIL_PDOM","PDER_SEGP","PDER_IMSSB","PAFIL_IPRIV","PAFIL_OTRAI","P12YM_SOLT","P12YM_CASA","P12YM_SEPA","PCATOLICA","PRO_CRIEVA","POTRAS_REL","PSIN_RELIG","TOTHOG","HOGJEF_F","HOGJEF_M","POBHOG","PHOGJEF_F","PHOGJEF_M","VIVTOT","TVIVHAB","TVIVPAR","VIVPAR_HAB","VIVPARH_CV","TVIVPARHAB","VIVPAR_DES","VIVPAR_UT","OCUPVIVPAR","PROM_OCUP","PRO_OCUP_C","VPH_PISODT","VPH_PISOTI","VPH_1DOR","VPH_2YMASD","VPH_1CUART","VPH_2CUART","VPH_3YMASC","VPH_C_ELEC","VPH_S_ELEC","VPH_AGUADV","VPH_AEASP","VPH_AGUAFV","VPH_TINACO","VPH_CISTER","VPH_EXCSA","VPH_LETR","VPH_DRENAJ","VPH_NODREN","VPH_C_SERV","VPH_NDEAED","VPH_DSADMA","VPH_NDACMM","VPH_SNBIEN","VPH_REFRI","VPH_LAVAD","VPH_HMICRO","VPH_AUTOM","VPH_MOTO","VPH_BICI","VPH_RADIO","VPH_TV","VPH_PC","VPH_TELEF","VPH_CEL","VPH_INTER","VPH_STVP","VPH_SPMVPI","VPH_CVJ","VPH_SINRTV","VPH_SINLTC","VPH_SINCINT","VPH_SINTIC","AMBITO","tipo_localidad","ARLU","AULR","tipo","TAMLOC","AGEBR","fpc_2","fpc_3","fpc_0"
1,1,56,7,5736,"El Bajío Queretano","1516","22","Querétaro","22006","Corregidora","220060001","El Pueblito","2200600010142","2200600010142035",56,32,24,0,0,0,56,32,24,56,32,24,50,28,22,47,25,22,44,24,20,0,0,0,6,4,NA,8,6,NA,3,3,0,3,NA,NA,6,4,NA,14,9,7,NA,75,9,41,6,1.32,27,18,9,28,13,15,52,31,21,4,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,55,0,0,0,0,0,0,0,0,0,3,NA,NA,6,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,4,3,NA,39,20,19,13.96,13.52,14.45,30,12,18,20,16,4,29,12,17,NA,0,NA,14,42,36,5,0,0,NA,0,0,0,22,20,8,42,4,0,10,16,7,9,56,23,33,21,16,20,15,16,16,4,NA,56,3.5,0.55,16,0,NA,15,0,0,16,16,0,16,16,0,15,13,16,0,16,0,16,0,16,0,0,16,14,16,16,NA,0,14,15,15,14,16,15,14,11,7,0,0,0,0,"Urbana","Localidad amanzanada","220060001-LOC-Urbana","2200600010142-AGEB-Urbana","Localidad amanzanada",NA,"2200600010142",1,0.1010787187098656,0.23076923076923078
1,1,58,7,5658,"El Bajío Queretano","1509","22","Querétaro","22006","Corregidora","220060001","El Pueblito","2200600010142","2200600010142024",58,36,22,NA,0,NA,57,36,21,55,34,21,52,32,20,50,30,20,48,28,20,NA,NA,0,3,NA,NA,4,4,0,NA,NA,0,NA,NA,0,8,5,3,16,13,7,6,61.11,8,42,8,1.38,15,9,6,43,27,16,54,34,20,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,4,0,0,NA,50,NA,NA,0,0,0,0,0,0,0,NA,NA,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,45,25,20,15.24,14.63,16.15,26,14,12,26,18,8,26,14,12,0,0,0,8,50,41,4,NA,0,0,0,3,0,16,29,7,44,7,0,7,20,10,10,58,31,27,24,20,22,18,20,20,4,0,58,2.9,0.47,20,0,NA,19,0,0,20,20,0,20,20,0,19,17,20,0,20,0,20,0,20,3,0,20,19,19,17,NA,NA,15,20,18,18,19,20,20,15,4,0,0,0,0,"Urbana","Localidad amanzanada","220060001-LOC-Urbana","2200600010142-AGEB-Urbana","Localidad amanzanada",NA,"2200600010142",1,0.1010787187098656,0.23076923076923078
1,1,89,7,5636,"El Bajío Queretano","1507","22","Querétaro","22006","Corregidora","220060001","El Pueblito","2200600010142","2200600010142022",89,39,50,0,0,0,89,39,50,87,38,49,80,33,47,77,31,46,73,29,44,4,NA,NA,5,4,NA,8,6,NA,3,NA,NA,4,NA,NA,15,NA,13,17,22,10,12,128.21,12,61,16,1.94,16,7,9,71,32,39,82,35,47,5,3,NA,NA,NA,0,0,0,0,NA,NA,0,NA,0,NA,4,0,0,0,3,NA,0,NA,NA,NA,NA,11,4,5,NA,6,0,5,3,74,0,0,0,0,0,0,0,0,0,4,NA,NA,11,NA,9,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,0,0,71,28,43,14.78,14.58,14.91,41,14,27,39,19,20,40,14,26,NA,0,NA,9,80,71,0,0,NA,NA,0,8,0,28,46,6,59,13,4,13,27,4,23,89,11,78,31,27,30,26,27,27,3,NA,89,3.3,0.51,27,0,0,27,0,0,27,27,0,27,27,0,26,18,27,0,27,0,27,0,27,NA,0,27,26,23,26,0,NA,23,27,24,25,27,27,23,17,11,0,0,0,0,"Urbana","Localidad amanzanada","220060001-LOC-Urbana","2200600010142-AGEB-Urbana","Localidad amanzanada",NA,"2200600010142",1,0.1010787187098656,0.23076923076923078
1,1,44,7,5925,"El Bajío Queretano","1533","22","Querétaro","22006","Corregidora","220060001","El Pueblito","2200600010142","2200600010142052",44,28,16,NA,0,NA,43,28,15,43,28,15,43,28,15,40,25,15,34,21,13,0,0,0,0,0,0,3,3,0,3,3,0,6,4,NA,5,3,NA,18,7,4,3,57.14,4,34,6,1.04,14,10,4,29,17,12,37,26,11,6,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,3,0,3,0,38,0,0,0,0,0,0,0,0,0,6,4,NA,5,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,4,NA,NA,29,17,12,13.7,13.04,14.8,21,11,10,22,17,5,20,10,10,NA,NA,0,6,38,33,4,0,0,NA,0,NA,NA,21,19,3,42,0,0,NA,15,6,9,44,13,31,16,15,13,12,15,15,0,NA,44,2.93,0.47,15,0,NA,13,0,0,15,15,0,15,15,0,13,11,15,0,15,0,15,0,15,NA,0,15,15,14,14,3,NA,15,15,15,13,15,15,14,9,8,0,0,0,0,"Urbana","Localidad amanzanada","220060001-LOC-Urbana","2200600010142-AGEB-Urbana","Localidad amanzanada",NA,"2200600010142",1,0.1010787187098656,0.23076923076923078
1,1,127,7,5714,"El Bajío Queretano","1514","22","Querétaro","22006","Corregidora","220060001","El Pueblito","2200600010142","2200600010142033",127,66,61,3,NA,NA,124,65,59,122,63,59,113,62,51,107,57,50,100,52,48,NA,NA,0,9,NA,8,10,6,4,6,5,NA,7,5,NA,15,8,7,36,23,11,12,92.42,20,92,15,1.3,53,25,28,67,38,29,107,55,52,10,7,3,4,3,NA,0,0,0,4,3,NA,4,0,4,12,3,0,3,5,NA,4,0,NA,0,0,27,6,21,NA,5,NA,NA,NA,90,0,0,0,0,0,0,0,0,0,6,4,NA,11,6,5,0,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,0,3,NA,NA,4,4,0,93,48,45,14.58,14.13,15.1,64,32,32,45,29,16,61,31,30,3,NA,NA,39,85,58,10,0,5,10,0,5,0,49,52,8,80,17,4,23,38,9,29,127,31,96,44,38,40,34,38,38,4,NA,127,3.34,0.58,37,NA,5,33,0,0,38,38,0,38,38,0,37,34,38,0,38,0,38,0,38,NA,0,38,36,34,36,5,3,28,38,34,31,37,38,33,23,13,0,0,0,0,"Urbana","Localidad amanzanada","220060001-LOC-Urbana","2200600010142-AGEB-Urbana","Localidad amanzanada",NA,"2200600010142",1,0.1010787187098656,0.23076923076923078
1,1,78,7,5647,"El Bajío Queretano","1508","22","Querétaro","22006","Corregidora","220060001","El Pueblito","2200600010142","2200600010142023",78,45,33,NA,0,NA,77,45,32,76,45,31,73,43,30,68,41,27,60,35,25,NA,0,NA,3,NA,NA,7,3,4,5,NA,3,8,6,NA,8,5,3,23,20,12,8,73.33,10,54,14,1.5,27,15,12,51,30,21,67,39,28,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,NA,NA,NA,NA,NA,11,8,7,7,7,7,7,0,62,0,0,0,0,0,0,0,0,0,8,6,NA,3,NA,NA,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,NA,NA,0,4,NA,NA,55,32,23,14.12,13.73,14.7,39,20,19,34,23,11,36,20,16,3,0,3,23,55,44,8,0,0,4,0,NA,0,27,44,NA,56,6,0,16,26,8,18,78,21,57,31,26,30,25,26,26,3,NA,78,3,0.57,26,0,NA,25,0,0,26,26,0,26,26,0,26,17,26,0,26,0,26,0,26,6,0,26,24,24,20,NA,NA,21,26,18,24,24,24,20,16,7,0,NA,NA,0,"Urbana","Localidad amanzanada","220060001-LOC-Urbana","2200600010142-AGEB-Urbana","Localidad amanzanada",NA,"2200600010142",1,0.1010787187098656,0.23076923076923078
1,1,74,7,5725,"El Bajío Queretano","1515","22","Querétaro","22006","Corregidora","220060001","El Pueblito","2200600010142","2200600010142034",74,40,34,NA,0,NA,73,40,33,71,38,33,59,31,28,54,29,25,52,27,25,4,3,NA,10,6,4,10,4,6,5,NA,3,NA,NA,0,9,NA,7,16,10,5,5,85,20,46,8,1.81,38,20,18,30,18,12,64,32,32,7,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,72,NA,NA,0,NA,0,NA,0,0,0,NA,NA,0,7,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,3,NA,NA,47,24,23,14.54,14.28,14.84,35,16,19,24,15,9,34,15,19,NA,NA,0,21,53,39,6,0,0,0,0,9,0,24,31,4,55,18,0,NA,19,7,12,74,26,48,23,19,21,17,19,19,4,0,74,3.89,0.67,19,0,NA,17,0,0,19,19,0,19,19,0,19,18,19,0,19,0,19,0,19,NA,0,19,19,18,18,NA,NA,15,18,17,16,18,17,17,14,3,NA,0,NA,0,"Urbana","Localidad amanzanada","220060001-LOC-Urbana","2200600010142-AGEB-Urbana","Localidad amanzanada",NA,"2200600010142",1,0.1010787187098656,0.23076923076923078
1,1,63,7,5581,"El Bajío Queretano","1502","22","Querétaro","22006","Corregidora","220060001","El Pueblito","2200600010142","2200600010142017",63,35,28,0,0,0,63,35,28,61,33,28,57,31,26,56,31,25,53,29,24,NA,NA,0,4,NA,NA,5,NA,3,NA,0,NA,3,NA,NA,8,4,4,19,13,7,6,80,7,45,11,1.35,20,16,4,43,19,24,59,31,28,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,60,0,0,0,0,0,0,0,0,0,3,NA,NA,5,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,NA,NA,0,8,5,3,42,25,17,13.61,13.81,13.36,35,17,18,22,14,8,35,17,18,0,0,0,11,52,46,3,0,0,NA,0,4,0,21,26,10,49,4,0,10,21,11,10,63,34,29,22,21,21,20,21,21,NA,0,63,3,0.5,21,0,4,17,0,0,21,21,0,21,21,0,21,16,21,0,21,0,21,0,21,NA,0,21,21,19,19,NA,NA,16,21,17,16,20,20,15,10,5,0,0,NA,0,"Urbana","Localidad amanzanada","220060001-LOC-Urbana","2200600010142-AGEB-Urbana","Localidad amanzanada",NA,"2200600010142",1,0.1010787187098656,0.23076923076923078
1,1,74,7,5747,"El Bajío Queretano","1517","22","Querétaro","22006","Corregidora","220060001","El Pueblito","2200600010142","2200600010142036",74,42,32,0,0,0,74,42,32,74,42,32,72,41,31,69,38,31,66,37,29,0,0,0,NA,NA,NA,4,4,0,3,3,0,3,NA,NA,16,8,8,23,12,6,6,76.19,5,67,NA,1.1,25,15,10,46,25,21,71,41,30,3,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,0,72,0,0,0,0,0,0,0,0,0,3,NA,NA,11,5,6,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,4,NA,3,62,35,27,14.43,14.45,14.42,50,25,25,22,16,6,50,25,25,0,0,0,24,50,43,3,0,0,NA,0,3,0,30,33,9,56,7,3,8,24,13,11,74,37,37,25,24,24,23,24,24,NA,0,74,3.08,0.49,24,0,0,24,0,0,24,24,0,24,24,0,24,21,24,0,24,0,24,0,24,NA,0,24,23,23,23,0,0,19,24,23,21,23,23,21,17,4,0,0,NA,0,"Urbana","Localidad amanzanada","220060001-LOC-Urbana","2200600010142-AGEB-Urbana","Localidad amanzanada",NA,"2200600010142",1,0.1010787187098656,0.23076923076923078
1,1,25,11,7336,"El Bajío Queretano","1660","22","Querétaro","22006","Corregidora","220060001","El Pueblito","2200600010208","2200600010208020",25,13,12,NA,NA,NA,23,12,11,23,12,11,21,10,11,21,10,11,17,9,8,0,0,0,NA,NA,0,NA,NA,0,0,0,0,4,NA,3,4,3,NA,7,4,3,NA,92.31,4,19,NA,2.5,22,12,10,3,NA,NA,23,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,3,NA,NA,0,0,0,8,3,5,6,3,3,9.48,9,9.91,16,7,9,5,3,NA,16,7,9,0,0,0,3,22,17,0,0,0,5,0,0,0,6,14,NA,25,0,0,0,6,NA,5,25,4,21,8,6,7,5,6,6,NA,NA,25,4.17,0.93,6,0,NA,5,0,NA,5,6,0,6,6,0,4,NA,6,0,6,0,6,0,6,3,0,5,5,5,3,0,0,4,6,NA,5,6,5,6,NA,NA,0,0,NA,0,"Urbana","Localidad amanzanada","220060001-LOC-Urbana","2200600010208-AGEB-Urbana","Localidad amanzanada",NA,"2200600010208",1,0.08606227683506847,0.2903225806451613
